number,character,quote
208,mm,"But it’s easier for me because you see I go away again, and then come back now and then to stay. So it’s easy for me to pretend things may be easier soon and that something may be done. But really, the other day when I came home and I found that Anthea had tried to engage a most expensive firm of landscape gardeners to renovate the garden, to build up the greenhouse again—which is quite absurd because even if you put vines in they would not bear for another two or three years. Clotilde knew nothing about it and she was extremely angry when she discovered the estimate for this work on Anthea’s desk. She was really quite unkind."
209,sh,"But
     I would not have let the young man come to harm. I give you my word
     that I would have spoken out if it went against him at the Assizes."
210,mm,Now about the sum of money we are holding. It’s at your disposal at any time now. I don’t know whether you would like us to pay it into your bank or whether you would like to consult us possibly as to the investment of it? It’s quite a large sum.
211,hp,"You know, M. Poirot, I think I have unintentionally misled you. On thinking it over, I do not believe that I could possibly have heard any cry uttered in Mrs. Leidner’s room from where I was. The antika room lay between me and her—and I understand her windows were found closed."
212,sh,"I should say that he has been dead about three hours, judging by the
     rigidity of the muscles,"
213,mm,"We are not going to a church, I am afraid."
214,mm,I must go home. Such late hours! But we’ve had a very entertaining evening. Most unusually so. I think Miss Helier’s story wins the prize. Don’t you agree?
215,hp,"And of the letters we have still no explanation,"
216,hp,"He does not change much, the good Japp, eh?"
217,sh,"I wonder that my very simple stratagem could deceive so old a
     shikari,"
218,sh,"Well, well, you may see for yourself. If not, there's no harm done.
     Of course, we always have the optician clue to fall back upon, but I
     take a short cut when I can get it. Ah, here is the good Mrs. Marker!
     Let us enjoy five minutes of instructive conversation with her."
219,sh,"She has been
     suffering since yesterday from brain symptoms of great severity. As
     her medical adviser, I cannot possibly take the responsibility of
     allowing anyone to see her. I should recommend you to call again in
     ten days."
220,hp,"I hope you believe me, sir. I’ve been afraid all along the police
would rake up that old business with Major Ellerby and be suspicious of
me in consequence."
221,sh,"This great and sombre stage is set for something more worthy than
     that,"
222,sh,"I have
     seen Forbes, and I have seen your uncle, and I have set one or two
     trains of inquiry upon foot which may lead to something."
223,sh,"announced our page-boy, throwing open the
     door. A gentleman entered, with a pleasant, cultured face, high-nosed
     and pale, with something perhaps of petulance about the mouth, and
     with the steady, well-opened eye of a man whose pleasant lot it had
     ever been to command and to be obeyed. His manner was brisk, and yet
     his general appearance gave an undue impression of age, for he had a
     slight forward stoop and a little bend of the knees as he walked. His
     hair, too, as he swept off his very curly-brimmed hat, was grizzled
     round the edges and thin upon the top. As to his dress, it was
     careful to the verge of foppishness, with high collar, black
     frock-coat, white waistcoat, yellow gloves, patent-leather shoes, and
     light-coloured gaiters. He advanced slowly into the room, turning his
     head from left to right, and swinging in his right hand the cord
     which held his golden eyeglasses."
224,mm,I suppose it was a break in the monotony. What play were you acting in?
225,sh,"Should I be too early to see your
     master, Mr. Silas Brown, if I were to call at five o'clock to-morrow
     morning?"
226,sh,"There is one other thing you owe, Mr. Holder,"
227,sh,"Miss Susan Cushing, living at Cross Street, Croydon, has been made
     the victim of what must be regarded as a peculiarly revolting
     practical joke unless some more sinister meaning should prove to be
     attached to the incident. At two o'clock yesterday afternoon a small
     packet, wrapped in brown paper, was handed in by the postman. A
     cardboard box was inside, which was filled with coarse salt. On
     emptying this, Miss Cushing was horrified to find two human ears,
     apparently quite freshly severed. The box had been sent by parcel
     post from Belfast upon the morning before. There is no indication as
     to the sender, and the matter is the more mysterious as Miss Cushing,
     who is a maiden lady of fifty, has led a most retired life, and has
     so few acquaintances or correspondents that it is a rare event for
     her to receive anything through the post. Some years ago, however,
     when she resided at Penge, she let apartments in her house to three
     young medical students, whom she was obliged to get rid of on account
     of their noisy and irregular habits. The police are of opinion that
     this outrage may have been perpetrated upon Miss Cushing by these
     youths, who owed her a grudge and who hoped to frighten her by
     sending her these relics of the dissecting-rooms. Some probability is
     lent to the theory by the fact that one of these students came from
     the north of Ireland, and, to the best of Miss Cushing's belief, from
     Belfast. In the meantime, the matter is being actively investigated,
     Mr. Lestrade, one of the very smartest of our detective officers,
     being in charge of the case."
